TimeGenerated,TimeRaised,AlertName,AlertDescription,AlertSeverity,AlertPriority,AlertState,SourceSystem,SourceDisplayName,ResourceId,Query,ThresholdOperator,ThresholdValue,AlertValue,RepeatCount
2026-06-10T06:00:12Z,2026-06-10T06:00:00Z,VM CPU > 80% (rg-finance-prod),Average CPU utilization exceeded 80% over 5 minutes.,Sev3,3,Closed,Azure,FIN-WS-07,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/FIN-WS-07,,GreaterThan,80,83,0
2026-06-10T07:30:05Z,2026-06-10T07:30:00Z,Storage availability < 99.9% (stcontosofin),Account availability dropped below SLA threshold.,Sev2,2,Closed,Azure,stcontosofin,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Storage/storageAccounts/stcontosofin,,LessThan,99,99,0
2026-06-10T08:25:40Z,2026-06-10T08:25:30Z,Disk space low (HR-WS-03),Free disk space on C: fell below 10%.,Sev3,3,Acknowledged,Azure,HR-WS-03,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-corp-it/providers/Microsoft.Compute/virtualMachines/HR-WS-03,,LessThan,10,7,2
2026-06-10T09:42:18Z,2026-06-10T09:42:05Z,Role assignment write on rg-finance-prod,Activity Log alert: Microsoft.Authorization/roleAssignments/write succeeded against rg-finance-prod.,Sev1,1,New,Azure,rg-finance-prod,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod,,GreaterThanOrEqual,1,1,0
2026-06-10T09:55:33Z,2026-06-10T09:55:20Z,Key Vault access policy changed (kv-contoso-prod),Activity Log alert: Microsoft.KeyVault/vaults/write modified access policies on kv-contoso-prod.,Sev1,1,New,Azure,kv-contoso-prod,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.KeyVault/vaults/kv-contoso-prod,,GreaterThanOrEqual,1,1,0
2026-06-10T10:02:51Z,2026-06-10T10:02:40Z,Storage Account Key listed (stcontosofin),Activity Log alert: Microsoft.Storage/storageAccounts/listKeys/action invoked on stcontosofin.,Sev1,1,New,Azure,stcontosofin,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Storage/storageAccounts/stcontosofin,,GreaterThanOrEqual,1,1,0
2026-06-10T10:08:14Z,2026-06-10T10:08:00Z,Storage Egress spike (stcontosofin),Metric alert: Egress on stcontosofin exceeded 500 MB over 5 min.,Sev2,2,New,Azure,stcontosofin,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Storage/storageAccounts/stcontosofin,,GreaterThan,500000000,2147483647,3
2026-06-10T10:09:02Z,2026-06-10T10:08:50Z,Blob Transactions spike (stcontosofin),Metric alert: Transactions on stcontosofin exceeded 10000 over 5 min.,Sev2,2,New,Azure,stcontosofin,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Storage/storageAccounts/stcontosofin,,GreaterThan,10000,48213,5
2026-06-10T10:15:47Z,2026-06-10T10:15:30Z,Key Vault access spike (kv-contoso-prod),Metric alert: ServiceApiHit on kv-contoso-prod exceeded 200 requests over 5 min.,Sev2,2,New,Azure,kv-contoso-prod,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.KeyVault/vaults/kv-contoso-prod,,GreaterThan,200,617,2
2026-06-10T10:18:22Z,2026-06-10T10:18:00Z,NSG security rule changed (rg-finance-prod),Activity Log alert: Microsoft.Network/networkSecurityGroups/securityRules/write opened outbound rule.,Sev1,1,New,Azure,nsg-finance-prod,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Network/networkSecurityGroups/nsg-finance-prod,,GreaterThanOrEqual,1,1,0
2026-06-10T10:21:09Z,2026-06-10T10:20:55Z,Anomalous outbound data (FIN-WS-07 log alert),Log search alert: NetworkBytesSent from FIN-WS-07 exceeded 1 GB baseline in 15 min.,Sev2,2,New,Azure,FIN-WS-07,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/FIN-WS-07,Perf | where ObjectName == 'Network Adapter' and CounterName == 'Bytes Sent/sec' | where Computer == 'FIN-WS-07',GreaterThan,1073741824,3221225472,0
2026-06-10T10:35:41Z,2026-06-10T10:35:20Z,Failed sign-in burst (log alert),Log search alert: more than 25 failed sign-ins for a single principal in 10 min.,Sev2,2,New,Azure,alexw@contoso.com,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod,SigninLogs | where ResultType != 0 | summarize count() by UserPrincipalName | where count_ > 25,GreaterThan,25,41,0
2026-06-10T08:52:33Z,2026-06-10T08:52:10Z,SSH auth failures spike (WEB-APP-01),Log search alert: more than 50 failed sshd auths on WEB-APP-01 in 10 min.,Sev2,2,Acknowledged,Linux,WEB-APP-01,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-web-prod/providers/Microsoft.Compute/virtualMachines/WEB-APP-01,Syslog | where Facility == 'auth' and SyslogMessage has 'Failed password' | where Computer == 'WEB-APP-01',GreaterThan,50,318,4
2026-06-10T09:24:07Z,2026-06-10T09:23:50Z,Sudo to root by service account (WEB-APP-01),Log search alert: sudo session opened for non-interactive account on WEB-APP-01.,Sev2,2,New,Linux,WEB-APP-01,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-web-prod/providers/Microsoft.Compute/virtualMachines/WEB-APP-01,Syslog | where ProcessName == 'sudo' and SyslogMessage has 'session opened',GreaterThanOrEqual,1,1,0
2026-06-10T08:00:11Z,2026-06-10T08:00:00Z,Heartbeat missed (DC01),Metric alert: no heartbeat from DC01 for 5 minutes.,Sev2,2,Closed,Azure,DC01,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-corp-it/providers/Microsoft.Compute/virtualMachines/DC01,,LessThan,1,0,1
